 lorenz attractor:
  1.000000000  1.000000000  1.000000000
  1.000000000  1.065000057  0.995833337
  1.001625061  1.129848003  0.991856933
  1.004830599  1.194653511  0.988073766
  1.009576201  1.259522915  0.984487653
  1.015824914  1.324559689  0.981103361
  1.023543239  1.389864445  0.977926493
  1.032701254  1.455535412  0.974963427
  1.043272138  1.521668553  0.972221494
  1.055232048  1.588357687  0.969708800
  1.068560243  1.655694842  0.967434287
  1.083238602  1.723770380  0.965407729
  1.099251866  1.792673230  0.963639796
  1.116587400  1.862491012  0.962142050
  1.135234952  1.933310151  0.960926831
  1.155186892  2.005216122  0.960007548
  1.176437616  2.078293800  0.959398508
  1.198984027  2.152626991  0.959114969
  1.222825050  2.228299379  0.959173262
  1.247961879  2.305394173  0.959590852
  1.274397731  2.383994102  0.960386217
  1.302137613  2.464182138  0.961579025
  1.331188679  2.546041012  0.963190258
  1.361559987  2.629653692  0.965242147
  1.393262386  2.715103149  0.967758298
  1.426308393  2.802472830  0.970763683
  1.460712552  2.891846657  0.974284887
  1.496490955  2.983309031  0.978350043
  1.533661366  3.076944828  0.982988954
  1.572243452  3.172839880  0.988233149
  1.612258315  3.271080494  0.994116127
  1.653728843  3.371753931  1.000673294
  1.696679473  3.474948406  1.007942080
  1.741136193  3.580753326  1.015962124
  1.787126660  3.689258575  1.024775505
  1.834679961  3.800555706  1.034426570
  1.883826852  3.914737225  1.044962406
  1.934599638  4.031897068  1.056432724
  1.987032056  4.152129650  1.068890095
  2.041159391  4.275531769  1.082390189
  2.097018719  4.402200699  1.096991897
  2.154648304  4.532235622  1.112757325
  2.214087963  4.665736198  1.129752398
  2.275379181  4.802804470  1.148046613
  2.338564873  4.943543434  1.167713523
  2.403689384  5.088057041  1.188830733
  2.470798492  5.236451149  1.211480498
  2.539939880  5.388832569  1.235749483
  2.611162186  5.545309544  1.261729479
  2.684515953  5.705991268  1.289517164
  2.760052919  5.870987892  1.319214940
  2.837826252  6.040411472  1.350930810
  2.917890787  6.214374065  1.384778738
  3.000302792  6.392988682  1.420879006
  3.085119963  6.576369762  1.459358692
  3.172401190  6.764631271  1.500351906
  3.262207031  6.957888603  1.543999910
  3.354598999  7.156256199  1.590451717
  3.449640512  7.359848976  1.639864683
  3.547395706  7.568781853  1.692404389
  3.647930384  7.783168316  1.748245358
  3.751311302  8.003121376  1.807571530
  3.857606649  8.228753090  1.870576501
  3.966885328  8.460173607  1.937464237
  4.079217434  8.697490692  2.008449078
  4.194674492  8.940810204  2.083756924
  4.313327789  9.190233231  2.163624763
  4.435250282  9.445859909  2.248301744
  4.560515404  9.707783699  2.338049889
  4.689197063  9.976093292  2.433144093
  4.821369648 10.250873566  2.533872843
  4.957107067 10.532200813  2.640538454
  5.096484184 10.820144653  2.753458023
  5.239575863 11.114766121  2.872963428
  5.386455536 11.416116714  2.999402046
  5.537197113 11.724238396  3.133136988
  5.691873074 12.039159775  3.274548054
  5.850555420 12.360897064  3.424031258
  6.013313770 12.689452171  3.581999779
  6.180217266 13.024810791  3.748883963
  6.351332188 13.366941452  3.925131798
  6.526722431 13.715792656  4.111208916
  6.706449032 14.071291924  4.307598591
  6.890570164 14.433342934  4.514802456
  7.079139709 14.801825523  4.733338833
  7.272206783 15.176590919  4.963743687
  7.469816208 15.557460785  5.206570148
  7.672007561 15.944224358  5.462388039
  7.878812790 16.336635590  5.731782436
  8.090258598 16.734411240  6.015353680
  8.306362152 17.137228012  6.313715458
  8.527133942 17.544719696  6.627493858
  8.752573967 17.956474304  6.957325935
  8.982671738 18.372026443  7.303857327
  9.217405319 18.790863037  7.667739868
  9.456741333 19.212411880  8.049629211
  9.700633049 19.636045456  8.450181961
  9.949018478 20.061069489  8.870052338
 10.201819420 20.486726761  9.309888840
 10.458942413 20.912193298  9.770327568
 10.720273972 21.336570740 10.251990318
 10.985681534 21.758888245 10.755478859
 11.255011559 22.178098679 11.281366348
 11.528088570 22.593074799 11.830194473
 11.804713249 23.002609253 12.402463913
 12.084660530 23.405414581 12.998628616
 12.367679596 23.800117493 13.619087219
 12.653490067 24.185262680 14.264173508
 12.941783905 24.559314728 14.934148788
 13.232222557 24.920654297 15.629191399
 13.524433136 25.267585754 16.349386215
 13.818012238 25.598337173 17.094715118
 14.112520218 25.911064148 17.865045547
 14.407484055 26.203861237 18.660121918
 14.702393532 26.474761963 19.479549408
 14.996703148 26.721752167 20.322792053
 15.289829254 26.942779541 21.189151764
 15.581152916 27.135765076 22.077766418
 15.870018005 27.298614502 22.987598419
 16.155733109 27.429235458 23.917421341
 16.437570572 27.525554657 24.865819931
 16.714769363 27.585536957 25.831180573
 16.986537933 27.607200623 26.811687469
 17.252054214 27.588645935 27.805320740
 17.510469437 27.528070450 28.809854507
 17.760910034 27.423797607 29.822862625
 18.002481461 27.274299622 30.841722488
 18.234277725 27.078218460 31.863624573
 18.455375671 26.834396362 32.885578156
 18.664852142 26.541896820 33.904438019
 18.861778259 26.200027466 34.916908264
 19.045234680 25.808364868 35.919578552
 19.214313507 25.366767883 36.908931732
 19.368124008 24.875404358 37.881385803
 19.505805969 24.334756851 38.833316803
 19.626529694 23.745637894 39.761100769
 19.729507446 23.109199524 40.661136627
 19.813999176 22.426931381 41.529895782
 19.879322052 21.700660706 42.363948822
