 lorenz attractor:
 1.000000000 1.000000000 1.000000000
 1.000000000 1.065000057 0.9958333373
 1.001625061 1.129848003 0.9918569326
 1.004830599 1.194653511 0.9880737662
 1.009576201 1.259522915 0.9844876528
 1.015824914 1.324559689 0.9811033607
 1.023543239 1.389864445 0.9779264927
 1.032701254 1.455535412 0.9749634266
 1.043272138 1.521668553 0.9722214937
 1.055232048 1.588357687 0.9697088003
 1.068560243 1.655694842 0.9674342871
 1.083238602 1.723770380 0.9654077291
 1.099251866 1.792673230 0.9636397958
 1.116587400 1.862491012 0.9621420503
 1.135234952 1.933310151 0.9609268308
 1.155186892 2.005216122 0.9600075483
 1.176437616 2.078293800 0.9593985081
 1.198984027 2.152626991 0.9591149688
 1.222825050 2.228299379 0.9591732621
 1.247961879 2.305394173 0.9595908523
 1.274397731 2.383994102 0.9603862166
 1.302137613 2.464182138 0.9615790248
 1.331188679 2.546041012 0.9631902575
 1.361559987 2.629653692 0.9652421474
 1.393262386 2.715103149 0.9677582979
 1.426308393 2.802472830 0.9707636833
 1.460712552 2.891846657 0.9742848873
 1.496490955 2.983309031 0.9783500433
 1.533661366 3.076944828 0.9829889536
 1.572243452 3.172839880 0.9882331491
 1.612258315 3.271080494 0.9941161275
 1.653728843 3.371753931 1.000673294
 1.696679473 3.474948406 1.007942080
 1.741136193 3.580753326 1.015962124
 1.787126660 3.689258575 1.024775505
 1.834679961 3.800555706 1.034426570
 1.883826852 3.914737225 1.044962406
 1.934599638 4.031897068 1.056432724
 1.987032056 4.152129650 1.068890095
 2.041159391 4.275531769 1.082390189
 2.097018719 4.402200699 1.096991897
 2.154648304 4.532235622 1.112757325
 2.214087963 4.665736198 1.129752398
 2.275379181 4.802804470 1.148046613
 2.338564873 4.943543434 1.167713523
 2.403689384 5.088057041 1.188830733
 2.470798492 5.236451149 1.211480498
 2.539939880 5.388832569 1.235749483
 2.611162186 5.545309544 1.261729479
 2.684515953 5.705991268 1.289517164
 2.760052919 5.870987892 1.319214940
 2.837826252 6.040411472 1.350930810
 2.917890787 6.214374065 1.384778738
 3.000302792 6.392988682 1.420879006
 3.085119963 6.576369762 1.459358692
 3.172401190 6.764631271 1.500351906
 3.262207031 6.957888603 1.543999910
 3.354598999 7.156256199 1.590451717
 3.449640512 7.359848976 1.639864683
 3.547395706 7.568781853 1.692404389
 3.647930384 7.783168316 1.748245358
 3.751311302 8.003121376 1.807571530
 3.857606649 8.228753090 1.870576501
